step,train/loss,train/grad_norm,train/lr,train/now_ce,train/real_ce,train/world_ce,train/consistency,train/delta,train/now_value,train/world_value
1,11.166675567626953,2.6927075386047363,9.999989582088053e-05,5.581982612609863,5.584104537963867,5.585098743438721,2.3726483959762845e-06,4.3630454456433654e-05,0.5037277340888977,0.5037110447883606
2,10.910613059997559,2.6069817543029785,9.999958328397903e-05,5.456412315368652,5.454051971435547,5.454162120819092,2.674016513992683e-06,4.3665178964147344e-05,0.5039516687393188,0.5040568709373474
3,10.685524940490723,2.5316572189331055,9.999906239066652e-05,5.345706939697266,5.343973636627197,5.335472583770752,2.868558794943965e-06,4.49573781224899e-05,0.5019136667251587,0.5017815828323364
4,10.587174415588379,2.342569589614868,9.999833314322785e-05,5.282877445220947,5.306370258331299,5.302021503448486,4.233325398672605e-06,4.606086076819338e-05,0.4976438283920288,0.4975208044052124
5,10.472949981689453,2.118671178817749,9.999739554486184e-05,5.23994255065918,5.233696460723877,5.232101917266846,6.648027010669466e-06,4.745382466353476e-05,0.49084168672561646,0.49078428745269775
6,10.38272476196289,1.8536382913589478,9.999624959968128e-05,5.192086219787598,5.189454555511475,5.191574573516846,1.164373770734528e-05,5.076983507024124e-05,0.4817430377006531,0.481879860162735
7,10.341307640075684,1.5455715656280518,9.999489531271283e-05,5.1753339767456055,5.169172763824463,5.1624436378479,2.0057439542142674e-05,6.283645780058578e-05,0.4711286723613739,0.4714394807815552
8,10.372568130493164,1.1426423788070679,9.999333268989706e-05,5.183619976043701,5.186307430267334,5.191124439239502,3.639848728198558e-05,8.014252671273425e-05,0.46086639165878296,0.4609416127204895
9,10.262611389160156,1.1192620992660522,9.999156173808843e-05,5.1357927322387695,5.12290096282959,5.1301116943359375,4.970088411937468e-05,0.0001067255434463732,0.45257675647735596,0.4514334201812744
10,10.19582462310791,1.014344334602356,9.998958246505516e-05,5.088626861572266,5.104455947875977,5.109321117401123,4.809910024050623e-05,0.00010644846770446748,0.4457795023918152,0.4452931880950928
11,10.265331268310547,1.0619510412216187,9.998739487947932e-05,5.137472152709961,5.125643253326416,5.129316806793213,6.271344318520278e-05,0.00012697867350652814,0.44529813528060913,0.44386351108551025
12,10.186264991760254,1.1522067785263062,9.998499899095674e-05,5.095290184020996,5.090091705322266,5.0911054611206055,7.544939580839127e-05,0.00011290958354948089,0.4461902678012848,0.4463213086128235
